Name,Count
Klein,81471
Salinas,81156
Fuentes,81006
Baldwin,80742
Daniel,80526
Simon,80460
Velasquez,80364
Hardy,80252
Higgins,79803
Aguirre,79517
Lin,79508
Cummings,79316
Chandler,79186
Sharp,78990
Barber,78848
Bowen,78822
Ochoa,78677
Dennis,78482
Robbins,78381
Liu,78370
Ramsey,78350
Francis,78327
Griffith,78260
Paul,78256
Blair,78026
Oconnor,77923
Cardenas,77652
Pacheco,77642
Cross,77557
Calderon,77085
Quinn,76986
Moss,76908
Swanson,76897
Chan,76664
Rivas,76205
Khan,76171
Rodgers,76095
Serrano,75996
Fitzgerald,75356
Rosales,75185
Stevenson,75169
Christensen,75143
Manning,74949
Gill,74948
Curry,74919
Mclaughlin,74816
Harmon,74737
Mcgee,74542
Gross,74503
Doyle,74458
Garner,74324
Newton,74092
Burgess,73931
Reese,73919
Walton,73854
Blake,73797
Trujillo,73664
Adkins,73599
Brady,73145
Goodman,73136
Roman,72918
Webster,72625
Goodwin,72451
Fischer,72357
Huang,72328
Potter,72175
Delacruz,72109
Montoya,71844
Todd,71759
Wu,71721
Hines,71717
Mullins,71646
Castaneda,71368
Malone,71286
Cannon,71085
Tate,71058
Mack,71056
Sherman,70502
Hubbard,70362
Hodges,70223
Zhang,70125
Guerra,70071
Wolf,70031
Valencia,70000
Saunders,69943
Franco,69943
Rowe,69879
Gallagher,69834
Farmer,69617
Hammond,69515
Hampton,69472
Townsend,69360
Ingram,69345
Wise,68649
Gallegos,68373
Clarke,68281
Barton,68233
Schroeder,67977
Maxwell,67961
Waters,67929
Logan,67909
Camacho,67893
Strickland,67769
Norman,67704
Person,67411
Colon,67338
Parsons,67310
Frank,67304
Harrington,66959
Glover,66858
Osborne,66827
Buchanan,66648
Casey,66556
Floyd,66454
Patton,66293
Ibarra,66063
Ball,66059
Tyler,66056
Suarez,66013
Bowers,66003
Orozco,65904
Salas,65468
Cobb,65125
Gibbs,65064
Andrade,65037
Bauer,65004
Conner,64572
Moody,64429
Escobar,64403
Mcguire,64327
Lloyd,64202
Mueller,64191
Hartman,64106
French,63991
Kramer,63936
Mcbride,63899
Pope,63881
Lindsey,63760
Velazquez,63736
Norton,63722
Mccormick,63649
Sparks,63440
Flynn,63400
Yates,63254
Hogan,63085
Marsh,62304
Macias,62227
Villanueva,61883
Zamora,61729
Pratt,61671
Stokes,61639
Owen,61630
Ballard,61625
Lang,61529
Brock,61369
Villarreal,61355
Charles,61211
Drake,61162
Barrera,60998
Cain,60948
Patrick,60845
Pineda,60820
Burnett,60791
Mercado,60761
Santana,60667
Shepherd,60479
Bautista,60264
Ali,60002
Shaffer,59943
Lamb,59913
Trevino,59882
Mckenzie,59595
Hess,59486
Beil,59463
Olsen,59356
Cochran,59350
Morton,59213
Nash,58714
Wilkins,58634
Petersen,58480
Briggs,58408
Shah,58287
Roth,58278
Nicholson,58151
Holloway,58040
Lozano,57779
Rangel,57549
Flowers,57549
Hoover,57497
Short,57477
Arias,57477
Mora,57464
Valenzuela,57383
Bryan,57143
Meyers,57127
Weiss,57112
Underwood,57064
Bass,57044
Greer,57043
Summers,56953
Houston,56900
Carson,56872
Morrow,56840
Clayton,56638
Whitaker,56616
Decker,56576
Yoder,56410
Collier,56380
Zuniga,56347
Carey,56322
Wilcox,56286
Melendez,56230
Poole,56226
Roberson,56180
Larsen,55960
Conley,55917
Davenport,55895
Copeland,55850
Massey,55595
Lam,55554
Huff,55484
Rocha,55251
Cameron,55240
Jefferson,55179
Hood,55174
Monroe,55136
Anthony,55114
Pittman,55021
Huynh,54996
Randall,54764
Singleton,54621
Kirk,54394
Combs,54257
Mathis,54217
Christian,54198
Skinner,54046
Bradford,54015
Richard,53893
Galvan,53822
Wall,53794
Boone,53792
Kirby,53767
Wilkinson,53739
Bridges,53682
Bruce,53419
Atkinson,53376
Velez,53265
Meza,53230
Roy,53159
Vincent,53095
York,53059
Hodge,52920
Villa,52817
Abbott,52739
Allison,52701
Tapia,52651
Gates,52569
Chase,52481
Sosa,52457
Sweeney,52410
Farrell,52321
Wyatt,52211
Dalton,52184
Horn,52138
Barron,52070
Phelps,52044
Yu,52035
Dickerson,51889
Heath,51877
Foley,51865
Atkins,51671
Mathews,51592
Bonilla,51475
Acevedo,51351
Benitez,51288
Zavala,51153
Hensley,51081
Glenn,51043
Cisneros,50920
Harrell,50837
Shields,50832
Rubio,50788
Huffman,50786
Choi,50786
Boyer,50742
Garrison,50686
Arroyo,50614
Bond,50610
Kane,50584
Hancock,50558
Callahan,50524
Dillon,50465
Cline,50258
Wiggins,50247
Grimes,50245
Arellano,50104
Melton,50069
Oneill,50028
Savage,49914
Ho,49817
Beltran,49776
Pitts,49740
Parrish,49733
Ponce,49549
Rich,49481
Booth,49402
Koch,49395
Golden,49360
Ware,49316
Brennan,49238
Mcdowell,49217
Marks,49177
Cantu,49126
Humphrey,49056
Baxter,49033
Sawyer,49028
Clay,48844
Tanner,48813
Hutchinson,48781
Kaur,48753
Berg,48746
Wiley,48720
Gilmore,48719
Russo,48696
Villegas,48599
Hobbs,48522
Keith,48487
Wilkerson,48444
Ahmed,48319
Beard,48207
Mcclain,48165
Montes,48142
Mata,48120
Rosario,48051
Vang,48036
Walter,48024
Henson,48013
Oneal,47979
Mosley,47963
Mcclure,47742
Beasley,47693
Stephenson,47641
Snow,47528
Huerta,47455
Preston,47367
Vance,47324
Barry,47274
Johns,47246
Eaton,47184
Blackwell,47175
Dyer,47170
Prince,47168
Macdonald,46717
Solomon,46534
Guevara,46454
Stafford,46394
English,46393
Hurst,46244
Woodard,46240
Cortes,46229
Shannon,46147
Kemp,46146
Nolan,46054
Mccullough,45852
Merritt,45594
Murillo,45558
Moon,45528
Salgado,45469
Strong,45432
Kline,45390
Cordova,45305
Barajas,45153
Roach,45019
Rosas,44938
Winters,44914
Jacobson,44808
Lester,44784
Knox,44742
Bullock,44740
Kerr,44711
Leach,44581
Meadows,44500
Orr,44388
Davila,44388
Whitehead,44373
Pruitt,44365
Kent,44325
Conway,44320
Mckee,44137
Barr,44130
David,44040
Dejesus,44038
Marin,43904
Berger,43851
Mcintyre,43842
Blankenship,43830
Gaines,43821
Palacios,43798
Cuevas,43701
Bartlett,43648
Durham,43635
Dorsey,43631
Mccall,43483
Odonnell,43460
Stein,43389
Browning,43329
Stout,43305
Lowery,43278
Sloan,43261
Mclean,43260
Hendricks,43197
Calhoun,43180
Sexton,43133
Chung,43110
Gentry,43027
Hull,43018
Duarte,42983
Ellison,42827
Nielsen,42773
Gillespie,42693
Buck,42639
Middleton,42578
Sellers,42577
Leblanc,42575
Esparza,42559
Hardin,42469
Bradshaw,42465
Mcintosh,42379
Howe,42265
Livingston,42103
Frost,42015
Glass,41802
Morse,41774
Knapp,41771
Herman,41750
Stark,41735
Bravo,41700
Noble,41667
Spears,41665
Weeks,41565
Corona,41553
Frederick,41394
Buckley,41348
Mcfarland,41300
Hebert,41275
Enriquez,41271
Hickman,41163
Quintero,41158
Randolph,41129
Schaefer,41063
Walls,41025
Trejo,41021
House,41000
Reilly,40884
Pennington,40854
Michael,40736
Conrad,40707
Giles,40598
Benjamin,40590
Crosby,40563
Fitzpatrick,40449
Donovan,40410
Mays,40408
Mahoney,40397
Valentine,40395
Raymond,40275
Medrano,40261
Hahn,40250
Mcmillan,40237
Small,40212
Bentley,40193
Felix,40165
Peck,40055
Lucero,39986
Boyle,39921
Hanna,39890
Pace,39879
Rush,39802
Hurley,39796
Harding,39787
Mcconnell,39754
Bernal,39693
Nava,39670
Ayers,39623
Everett,39593
Ventura,39580
Avery,39564
Pugh,39559
Mayer,39555
Bender,39551
Shepard,39430
Mcmahon,39411
Landry,39391
Case,39319
Sampson,39277
Moses,39216
Magana,39105
Blackburn,39097
Dunlap,39063
Gould,38924
Duffy,38835
Vaughan,38830
Herring,38733
Mckay,38681
Espinosa,38667
Rivers,38662
Farley,38528
Bernard,38512
Ashley,38499
Friedman,38374
Potts,38277
Truong,38267
Costa,38265
Correa,38232
Blevins,38229
Nixon,38147
Clements,38044
Fry,38029
Delarosa,37932
Best,37923
Benton,37912
Lugo,37903
Portillo,37890
Dougherty,37884
Crane,37870
Haley,37858
Phan,37836
Villalobos,37754
Blanchard,37695
Horne,37689
Finley,37672
Quintana,37657
Lynn,37644
Esquivel,37578
Bean,37571
Dodson,37566
Mullen,37502
Xiong,37499
Hayden,37451
Cano,37368
Levy,37228
Huber,37170
Richmond,37053
Moyer,37050
Lim,37021
Frye,36973
Sheppard,36960
Mccarty,36944
Avalos,36922
Booker,36840
Waller,36805
Parra,36765
Woodward,36764
Jaramillo,36755
Krueger,36743
Rasmussen,36636
Brandt,36613
Peralta,36585
Donaldson,36558
Stuart,36540
Faulkner,36466
Maynard,36460
Galindo,36429
Coffey,36423
Estes,36318
Sanford,36312
Burch,36269
Maddox,36250
Vo,36236
Oconnell,36194
Vu,36179
Andersen,36150
Spence,36129
Mcpherson,36125
Church,36072
Schmitt,36043
Stanton,35997
Leal,35958
Cherry,35877
Compton,35830
Dudley,35781
Sierra,35770
Pollard,35749
Alfaro,35725
Hester,35642
Proctor,35636
Lu,35628
Hinton,35606
Novak,35461
Good,35446
Madden,35438
Mccann,35408
Terrell,35408
Jarvis,35350
Dickson,35312
Reyna,35291
Cantrell,35266
Mayo,35228
Branch,35225
Hendrix,35194
Rollins,35132
Rowland,35121
Whitney,35118
Duke,35053
Odom,35020
Daugherty,34987
Travis,34985
Tang,34961
Archer,34949
Haas,34918
Galloway,34909
Bray,34906
Nieves,34896
Petty,34882
Mcgrath,34871
Kaufman,34844
Holden,34824
Krause,34722
Baird,34721
Riggs,34506
Braun,34491
Werner,34488
Quinones,34468
Saldana,34434
Mercer,34431
Hatfield,34381
Mcneil,34368
Irwin,34297
Hooper,34247
Hays,34191
Joyce,34132
Mcknight,34055
Gamble,34005
Downs,33922
Pierre,33913
Haney,33898
Forbes,33813
Saenz,33787
Davies,33753
Vera,33674
Levine,33637
Mooney,33555
John,33543
Rosa,33521
Riddle,33507
Key,33501
Cho,33490
Kaiser,33480
Holder,33465
Bird,33457
Bonner,33446
Ferrell,33418
Cotton,33374
Dotson,33347
Mcgowan,33340
Barlow,33335
Shea,33329
Ewing,33314
Bright,33281
Becerra,33274
Lindsay,33255
Ritter,33252
Cooley,33231
Fritz,33224
Cooke,33223
Delaney,33218
Amaya,33218
Chaney,33201
Kidd,33186
Velasco,33078
Ngo,33005
Cheng,32982
Newell,32909
Frey,32904
Carney,32897
Barrios,32873
Bolton,32815
Holman,32788
Tovar,32760
Cardona,32727
Dailey,32719
Merrill,32620
Cowan,32586
Slater,32584
Albert,32507
Justice,32480
Osborn,32439
Carver,32415
Lancaster,32362
Goff,32298
Zapata,32274
Fulton,32258
Kang,32221
Sears,32206
Lehman,32180
Byers,32174
Snider,32148
Law,32122
Tan,32120
Lake,32104
Lutz,32050
Costello,32043
Gay,32025
Guthrie,31956
Gallardo,31909
Workman,31856
Mcfadden,31839
Blanco,31800
Gorman,31788
Katz,31780
Kuhn,31776
Noel,31768
Valle,31716
Marino,31687
Hong,31670
Springer,31643
Pickett,31611
Aguilera,31581
Witt,31575
Carrasco,31575
Donahue,31563
Kinney,31558
Donnelly,31505
Britt,31474
Craft,31452
Odell,31349
Daly,31330
Winter,31310
Abraham,31303
Baez,31298
Rodrigues,31280
Wooten,31249
Hartley,31221
Ng,31210
Kendall,31209
Cleveland,31123
Crowley,31098
Pearce,31060
Dillard,31021
Wilder,31018
Lange,30984
Shoemaker,30934
Flanagan,30887
Bruno,30883
Segura,30880
Beach,30867
Castellanos,30859
Tillman,30825
Alford,30771
Finch,30769
Mcleod,30769
Mackey,30749
Dodd,30732
Emerson,30702
Minor,30702
Muniz,30695
Alston,30693
Maloney,30671
Childers,30570
Mcdermott,30528
Moser,30483
Vogel,30470
Mccabe,30401
Dang,30389
Alonso,30389
Saucedo,30374
Starr,30363
Do,30301
Hurtado,30286
Kirkland,30283
Hendrickson,30259
Holley,30231
Cordero,30158
Franks,30155
Guillen,30153
Welsh,30153
Ratliff,30083
Sweet,30051
Talley,30014
Whitfield,29962
Crowe,29953
Goldstein,29938
England,29926
Pereira,29898
Ly,29891
Joyner,29884
Richter,29880
Farris,29877
Tracy,29867
Bacon,29860
Han,29847
Gibbons,29824
Mayfield,29805
Hoang,29798
Elder,29796
Lau,29792
Dale,29757
Camp,29753
Connolly,29710
Hewitt,29694
Cramer,29691
Goldberg,29603
Morin,29593
Sutherland,29585
Kaplan,29582
Mcallister,29544
Byrne,29503
Osorio,29482
Cash,29476
Haines,29462
Meeks,29457
Wynn,29417
Gilliam,29414
Vigil,29382
Hickey,29350
Connor,29346
Pate,29327
Zepeda,29252
Hatcher,29235
Escobedo,29185
Arredondo,29173
Hyde,29094
Christopher,29067
Mobley,29065
Kessler,29064
Britton,29040
Ritchie,29040
Romano,29018
Oneil,28949
Tyson,28947
Bui,28919
Hilton,28918
Caballero,28903
Downing,28880
Sharpe,28879
Guy,28852
Holcomb,28852
Rankin,28821
Godfrey,28734
Chamberlain,28727
Fink,28701
Hollis,28617
Foreman,28605
Carranza,28581
Sharma,28559
Kern,28547
Chu,28508
Knowles,28460
Ma,28452
Madison,28411
Childs,28359
Belcher,28321
Wills,28219
Womack,28201
Dye,28182
Arthur,28102
Grace,28098
Baca,28082
Rutherford,28079
Sorensen,28069
Mccray,28024
Hastings,28015
Pierson,27983
Chacon,27982
Renteria,27976
Mohamed,27972
Nicholas,27922
Kendrick,27915
Ferreira,27898
Lockhart,27883
Boggs,27880
Pryor,27805
Doherty,27787
Sargent,27786
Kenney,27759
Tuttle,27751
Denton,27742
Magee,27720
Jamison,27697
Lyon,27690
Locke,27643
Puckett,27627
Coronado,27626
Olvera,27551
Sykes,27546
Manuel,27529
Burks,27523
Chin,27487
Quiroz,27452
Hopper,27353
Mcgill,27330
Dolan,27329
Mckenna,27293
Head,27292
Montano,27276
Paredes,27274
Delatorre,27265
Langley,27252
Sinclair,27243
Dwyer,27240
Shirley,27224
Muller,27216
Courtney,27205
Slaughter,27155
Polk,27094
Lemus,27079
Covington,27068
Madrigal,27033
Clemons,27022
Rosado,26998
Broussard,26971
Mcginnis,26953
Hatch,26903
Sheehan,26902
Rutledge,26887
Corbin,26876
Dempsey,26863
Garland,26779
Carmona,26774
Bowling,26762
Burris,26760
Whitley,26732
Hamm,26726
Bland,26722
Bermudez,26691
Stinson,26681
Pike,26655
Orellana,26651
Downey,26627
Varela,26621
Harden,26617
Couch,26615
Dickinson,26607
Cassidy,26590
Rucker,26581
Gabriel,26578
Herron,26559
Mcnamara,26534
Rouse,26519
Burt,26475
Battle,26432
Gustafson,26421
Herbert,26417
Dunbar,26405
Webber,26405
Boyce,26376
Dewitt,26348
Rosenberg,26307
Simms,26287
Woodruff,26286
Brandon,26284
Romo,26283
Hutchins,26251
Kirkpatrick,26251
Corbett,26246
Granados,26187
Rossi,26183
Goss,26179
Lott,26174
Leyva,26153
Hinojosa,26146
Gil,26112
Crabtree,26104
Grady,26103
Mcclellan,26060
Kumar,25986
Fraser,25961
Rico,25954
Bingham,25941
Soriano,25916
Sterling,25894
Fonseca,25863
Madrid,25854
Emery,25839
Singer,25828
Aragon,25801
Aquino,25783
Elmore,25774
Worley,25758
Simons,25755
Quezada,25752
Ott,25738
Ocampo,25720
Aviles,25716
Nieto,25701
Ervin,25698
Gore,25648
Shafer,25641
Weston,25637
Xu,25622
Plummer,25596
Michel,25578
Paz,25574
Yanez,25563
Gregg,25554
Abrams,25534
Smart,25528
Beatty,25510
Serna,25503
Meier,25486
Robison,25450
Swartz,25444
Seymour,25436
Gleason,25416
Vela,25414
Padgett,25413
Ackerman,25401
Heller,25373
Ziegler,25351
Vinson,25341
Eldridge,25299
Pina,25293
Schumacher,25292
Akers,25290
Roe,25286
Tomlinson,25274
Mayes,25256
Zheng,25242
Albright,25189
Burgos,25169
Swain,25157
Manley,25136
Helton,25118
Song,25110
Quick,25091
Leslie,25078
Stern,25074
Givens,25067
Tipton,25064
Coffman,24980
Greenwood,24971
Curran,24969
Childress,24937
Fish,24924
Elkins,24902
Daley,24901
Lowry,24895
Angel,24895
Solano,24881
Duong,24870
Edmonds,24857
Gomes,24827
Buckner,24822
Walden,24821
Hutchison,24820
Griggs,24819
Nix,24786
Clifton,24758
Thomson,24750
Yarbrough,24749
Mccauley,24743
Elias,24696
Jacob,24688
Meredith,24679
Mcelroy,24668
Groves,24629
Uribe,24612
Hoskins,24581
Bowden,24560
Tatum,24558
Schafer,24543
Field,24543
Bustamante,24536
Stover,24526
Teague,24514
Gunter,24513
Burrell,24504
Funk,24419
Crowder,24396
Schulz,24385
Sanderson,24384
Canales,24384
Tolbert,24375
Lund,24347
Blue,24341
Kay,24337
Draper,24337
Shapiro,24335
Whalen,24262
Navarrete,24259
Gamez,24256
Swift,24249
Inman,24222
Crews,24219
Kurtz,24216
Stroud,24211
Blanton,24154
Reece,24145
Liang,24140
Francisco,24095
Crow,24089
Bloom,24081
Sun,24058
Tompkins,24056
Jung,24026
Nance,24018
Anaya,24017
Mckinley,24000
Olivares,23982
Newsome,23958
Thurman,23950
Helms,23949
Metcalf,23946
Goldman,23940
Schmitz,23931
Crouch,23923
Mcmanus,23909
Arevalo,23895
Horner,23881
Conklin,23846
Holbrook,23843
Neely,23843
Hollingsworth,23831
Clement,23830
Devine,23775
Crockett,23769
Benavides,23761
Bullard,23755
Louis,23738
Steiner,23735
Coates,23725
Drew,23722
Bowles,23713
Payton,23670
Chappell,23634
Amos,23621
Hagen,23616
Phipps,23610
Self,23595
Larkin,23578
Poe,23563
Pritchard,23549
Masters,23533
Gunn,23524
Jeffries,23510
Dooley,23481
Pagan,23474
Mcghee,23461
Post,23458
Montalvo,23454
Zhou,23437
Prado,23436
Heard,23408
Lord,23405
Thao,23404
Connelly,23398
Driscoll,23385
Dubois,23366
Feldman,23356
Coker,23348
Dickey,23320
Pollock,23310
Kimball,23293
Rainey,23291
Ivey,23263
Gee,23241
Butts,23227
Maher,23222
Jewell,23187
Barragan,23176
Machado,23170
Rubin,23165
Reynoso,23143
Wesley,23135
Hidalgo,23134
Cabral,23128
Samuel,23125
Lacy,23110
Gallo,23056
Egan,23048
Aldridge,23034
Swenson,23009
Swan,23001
Stratton,22983
Hinkle,22983
Butcher,22978
Ornelas,22969
Forrest,22954
Colbert,22940
Aleman,22927
Rodriquez,22892
Arrington,22840
Goins,22837
Whaley,22833
Esposito,22789
Neff,22764
Mead,22727
Casillas,22710
Lilly,22662
Biggs,22641
Yeager,22634
Godwin,22628
Sprague,22610
Rosen,22596
Quintanilla,22581
Otto,22558
Billings,22553
Connell,22552
Temple,22549
Boswell,22540
Colvin,22499
Koenig,22499
Erwin,22496
Tellez,22494
Norwood,22461
Milligan,22416
Ames,22385
Purcell,22383
Ludwig,22380
Souza,22373
Huggins,22371
Amador,22370
Dunham,22362
Goode,22356
Kauffman,22353
Piper,22329
Oleary,22329
Cuellar,22324
Steward,22318
Winn,22316
Gary,22310
Zhao,22301
Sewell,22294
Browne,22289
Ramey,22287
Davison,22276
Clifford,22245
Stahl,22211
Ybarra,22211
Samuels,22207
Dukes,22187
Sheridan,22177
Snell,22177
Vickers,22176
Cartwright,22156
Link,22137
Blackmon,22130
Bunch,22117
Grimm,22103
Meade,22091
Silver,22052
Ojeda,22045
Geiger,22039
Dodge,22035
Kraft,22035
Lujan,22021
Babcock,22016
Hand,22006
Winkler,21993
Painter,21969
Regan,21951
Bragg,21934
Engel,21933
Valadez,21859
Carbajal,21838
Redmond,21834
Jarrett,21821
Bolden,21819
Wolff,21815
Thorpe,21813
Hassan,21801
Hadley,21771
Healy,21751
Mcdonough,21739
Shin,21735
Grove,21732
Block,21717
Peacock,21712
Ohara,21710
Hammer,21709
Feliciano,21667
Winston,21667
Betancourt,21663
Beaver,21640
Godinez,21640
Kilgore,21627
Mcgraw,21614
Dahl,21598
Diamond,21586
Pimentel,21579
Cornell,21558
Arreola,21540
Siegel,21536
Hankins,21532
Raines,21518
Thacker,21512
Sadler,21504
Sotelo,21455
Dugan,21455
Cote,21446
Bower,21445
Miner,21439
Brantley,21395
Sheets,21384
Sherwood,21384
Pinto,21366
Doss,21366
Stiles,21357
Willard,21352
Waddell,21301
Stanford,21295
Latham,21277
Zhu,21265
Irvin,21263
Matos,21258
Gagnon,21208
Carlton,21202
Tidwell,21176
Lovell,21171
Hoyt,21169
Spivey,21161
Jean,21140
Land,21116
Patino,21113
Marrero,21109
Hager,21106
Hurt,21037
Ash,21030
Hagan,21017
Brito,21007
Lanier,20997
Zarate,20992
Major,20977
Escamilla,20958
Otero,20937
Henley,20934
Dick,20923
Voss,20911
Greenberg,20897
Finn,20852
Venegas,20851
Mcneal,20778
Metzger,20771
Coulter,20757
Beal,20752
Crump,20737
Jorgensen,20731
Maurer,20707
Kearney,20706
Cummins,20705
Ferris,20703
Milton,20703
Timmons,20671
Palma,20636
Escalante,20626
Cahill,20623
Schaffer,20614
Guidry,20600
Yee,20591
Kruse,20584
Mcmullen,20545
Hurd,20540
Castle,20534
Valdes,20527
Mcwilliams,20523
Leung,20496
Holliday,20491
Houser,20484
Bassett,20482
Thomason,20478
Sapp,20448
Tripp,20434
Galvez,20425
Eubanks,20424
Hilliard,20377
Crocker,20370
Caruso,20367
Alonzo,20367
Barnard,20366
Deal,20366
Metz,20366
Carlisle,20365
Hargrove,20360
Keenan,20353
North,20343
Dasilva,20338
Ledesma,20311
Messer,20306
Westbrook,20284
Root,20284
Hackett,20278
Posey,20263
Fountain,20193
Cornelius,20160
Benoit,20160
Barnhart,20157
Rendon,20143
Hannah,20138
Pedersen,20135
Stubbs,20134
Starks,20130
Sizemore,20116
Epps,20112
Olivas,20106
Bergeron,20073
Roper,20065
Hightower,20065
